ID;Year;LineFrom;LineTo;LineModifier;Notes 
1;1912;1;2;;
2;1921;1;3;;
3;1922;1;4;;
4;1930;4;1;;
5;1943;5;1;;
6;1943;3;9;;
7;1947;10;1;;
8;1947;1;7;;
9;1948;1;11;;
10;1949;1;6;;
11;1949;7;6;;
12;1949;11;6;;
14;1951;6;7;;
15;1964;1;12;;
16;1966;1;6;;
17;1966;7;6;;
18;1966;3;14;;
19;1969;6;1;;
20;1969;6;7;;
21;1972;12;13;;
22;1974;13;15;;
23;1975;15;16;;
24;1984;15;3;;
25;1989;16;19;;
26;1990;19;18;;
27;1991;3;20;;
28;1991;14;20;;
29;1991;16;20;;
30;1994;7;1;;
31;1994;7;8;;
32;1995;20;22;;
33;1998;1;3;;
34;1998;22;3;;
35;1998;21;3;;
36;1998;1;23;;
37;2006;20;28;;
38;2007;3;25;;
39;2009;25;27;;
40;2009;20;26;;
41;2015;3;29;;
42;2016;20;24;;
43;2016;23;24;;
44;2017;3;31;;
45;2017;3;32;;
46;2019;3;33;;
47;2020;3;34;;